rank,name,net_worth_usd,net_worth_usd_7%_growth
1.0,Larry Page,256200000000,274134000000.00003
2.0,Sergey Brin,236400000000,252948000000
3.0,Mark Zuckerberg,225100000000,240857000000
4.0,Jensen Huang,162600000000,173982000000
5.0,Eric Schmidt,35600000000,38092000000
6.0,Henry Samueli,32000000000,34240000000.000004
7.0,Peter Thiel,26700000000,28569000000
8.0,Robert Pera,25500000000,27285000000
9.0,Adam Foroughi,25000000000,26750000000
10.0,Henry Nicholas III,21900000000,23433000000
11.0,John Doerr,20000000000,21400000000
12.0,Donald Bren,19200000000,20544000000
13.0,Eric Smidt,17900000000,19153000000
14.0,John Tu,17500000000,18725000000
15.0,David Sun,17500000000,18725000000
16.0,Jan Koum,17100000000,18297000000
17.0,George Roberts,15900000000,17013000000.000002
18.0,Laurene Powell Jobs,14000000000,14980000000
19.0,Jack Dangermond,13800000000,14766000000
20.0,Antony Ressler,13100000000,14017000000
21.0,Vinod Khosla,12500000000,13375000000
22.0,Riley Bechtel,11600000000,12412000000
23.0,Dustin Moskovitz,11200000000,11984000000
24.0,Douglas Leone,10700000000,11449000000
25.0,Chris Larsen,10200000000,10914000000
26.0,Brian Armstrong,10100000000,10807000000
27.0,Marijke Mars,10000000000,10700000000
28.0,Tom Gores,10000000000,10700000000
29.0,Andrew Karam,9800000000,10486000000
30.0,Brian Chesky,9600000000,10272000000
31.0,Marc Benioff,9300000000,9951000000
32.0,David Geffen,9200000000,9844000000
33.0,Nathan Blecharczyk,9100000000,9737000000
34.0,Steven Rales,8600000000,9202000000
35.0,Don Hankey,8100000000,8667000000
36.0,Tench Coxe,7800000000,8346000000.000001
37.0,Michael Moritz,7700000000,8239000000.000001
38.0,Edward Roski Jr,7600000000,8132000000
39.0,Michael Milken,7400000000,7918000000
40.0,Steven Spielberg,7000000000,7490000000
41.0,Edythe Broad,6900000000,7383000000
42.0,Scott Cook,6900000000,7383000000
43.0,Baiju Bhatt,6700000000,7169000000
44.0,Vlad Tenev,6400000000,6848000000
45.0,John A. Sobrato,6400000000,6848000000
46.0,Stephen Cohen,6300000000,6741000000
47.0,Rick Caruso,5900000000,6313000000
48.0,Ken Xie,5700000000,6099000000
49.0,Jayshree Ullal,5600000000,5992000000
50.0,Archie Aldis Emmerson,5600000000,5992000000
51.0,Romesh T. Wadhwani,5500000000,5885000000
52.0,Neal Blue,5400000000,5778000000
53.0,Gordon Getty,5400000000,5778000000
54.0,Patrick Soon-Shiong,5400000000,5778000000
55.0,Jean (Gigi) Pritzker,5400000000,5778000000
56.0,Stewart Resnick,5300000000,5671000000
57.0,Lynda Resnick,5300000000,5671000000
58.0,Eduardo Vivas,5300000000,5671000000
59.0,George Lucas,5300000000,5671000000
60.0,Reed Hastings,5100000000,5457000000
61.0,Eric Yuan,5100000000,5457000000
62.0,Gwendolyn Sontheim Meyer,5000000000,5350000000
63.0,Jim Coulter,5000000000,5350000000
64.0,Jack Dorsey,4900000000,5243000000
65.0,David Baszucki,4900000000,5243000000
66.0,Scott Crabill,4800000000,5136000000
67.0,Holden Spaht,4800000000,5136000000
68.0,Seth Boro,4800000000,5136000000
69.0,Michael Xie,4800000000,5136000000
70.0,Dagmar Dolby,4800000000,5136000000
71.0,David Filo,4500000000,4815000000
72.0,Rupert Johnson Jr,4400000000,4708000000
73.0,Anthony Pritzker,4400000000,4708000000
74.0,Rodney Sacks,4300000000,4601000000
75.0,Donald Sterling,4300000000,4601000000
76.0,Sanjit Biswas,4100000000,4387000000
77.0,Thomas Siebel,4000000000,4280000000.0000005
78.0,John Bicket,4000000000,4280000000.0000005
79.0,José E. Feliciano,3800000000,4066000000
80.0,Meg Whitman,3800000000,4066000000
81.0,Behdad Eghbali,3800000000,4066000000
82.0,Peter Gassner,3800000000,4066000000
83.0,John Fisher,3700000000,3959000000
84.0,Danny Harris,3700000000,3959000000
85.0,Jared Kaplan,3700000000,3959000000
86.0,Dario Amodei,3700000000,3959000000
87.0,Tom Brown,3700000000,3959000000
88.0,Jack Clark,3700000000,3959000000
89.0,Sam McCandlish,3700000000,3959000000
90.0,Daniela Amodei,3700000000,3959000000
91.0,Marco DeGeorge,3600000000,3852000000
92.0,Kavitark Ram Shriram,3600000000,3852000000
93.0,Hemant Taneja,3600000000,3852000000
94.0,Richard Peery,3500000000,3745000000
95.0,Brian Acton,3500000000,3745000000
96.0,Travis Kalanick,3500000000,3745000000
97.0,Palmer Luckey,3500000000,3745000000
98.0,Parker Conrad,3400000000,3638000000
99.0,Frank Slootman,3300000000,3531000000
100.0,George Argyros,3200000000,3424000000
101.0,Jay Paul,3200000000,3424000000
102.0,Vasily Shikin,3200000000,3424000000
103.0,Haim Saban,3200000000,3424000000
104.0,Alexandr Wang,3200000000,3424000000
105.0,Jeff Rothschild,3200000000,3424000000
106.0,William Chisholm,3100000000,3317000000
107.0,Oprah Winfrey,3100000000,3317000000
108.0,Jerry Yang,3000000000,3210000000
109.0,Sean Parker,3000000000,3210000000
110.0,Nicolas Berggruen,2900000000,3103000000
111.0,Aneel Bhusri,2900000000,3103000000
112.0,Tim Draper,2800000000,2996000000
113.0,Daniel Pritzker,2800000000,2996000000
114.0,Jed McCaleb,2800000000,2996000000
115.0,Fred Ehrsam,2800000000,2996000000
116.0,Tony Xu,2700000000,2889000000
117.0,John Pritzker,2600000000,2782000000
118.0,George Joseph,2600000000,2782000000
119.0,Jeff T. Green,2600000000,2782000000
120.0,Tim Cook,2600000000,2782000000
121.0,Anthony Wood,2500000000,2675000000
122.0,Evan Spiegel,2500000000,2675000000
123.0,Barbara Banke,2500000000,2675000000
124.0,Herald Chen,2400000000,2568000000
125.0,Reid Hoffman,2400000000,2568000000
126.0,Jeff Tangney,2400000000,2568000000
127.0,Bennett Rosenthal,2300000000,2461000000
128.0,Bruce Karsh,2300000000,2461000000
129.0,Sheryl Sandberg,2300000000,2461000000
