Year,total_wealth,avg_wealth,count
1996,17.4,2.175,8
1997,13.0,3.25,4
1998,12.4,3.1,4
1999,21.9,5.475,4
2000,74.7,12.450000000000001,6
2001,70.1,3.0478260869565217,23
2002,62.1,3.105,20
2003,53.800000000000004,2.4454545454545458,22
2004,69.4,2.4785714285714286,28
2005,99.8,2.5589743589743588,39
2006,122.60000000000001,2.9902439024390244,41
2007,149.4,3.474418604651163,43
2008,193.1,3.575925925925926,54
2009,138.7,3.0822222222222218,45
2010,183.3,3.332727272727273,55
2011,225.3,3.88448275862069,58
2012,253.8,3.7880597014925375,67
2013,281.65,4.267424242424242,66
2014,380.6,4.942857142857143,77
2015,427.25,4.855113636363637,88
2016,437.2,4.752173913043478,92
2017,512.3,5.336458333333333,96
2018,600.3,5.828155339805825,103
2019,601.6,5.519266055045872,109
2020,519.9,4.520869565217391,115
2021,876.8,6.3999999999999995,137
2022,870.9,6.006206896551724,145
2023,780.6,5.346575342465753,146
2024,1188.7,7.117964071856288,167
2025,1433.4,7.6244680851063835,188
2026,1894.8,8.937735849056603,212
